,quadratAllTime,quadratIndYear,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
250,,THM2-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
251,,THM2-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
252,,THM2-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
253,,THM2-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
254,,THM2-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
255,,THM2-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
256,,THM3-01,,,,,,,,,,,,,,,1,1,1,1
257,,THM3-02,,,,,,,,,,,,,,,1,1,1,1
258,,THM3-03,,,,,,,,,,,,,,,1,1,1,1
259,,THM3-04,,,,,,,,,,,,,,,1,1,1,1
260,,THM3-05,,,,,,,,,,,,,,,1,1,1,1
261,,THM3-06,,,,,,,,,,,,,,,1,1,1,1
262,,THM3-07,,,,,,,,,,,,,,,1,1,1,1
263,,THM3-08,,,,,,,,,,,,,,,1,1,1,1
264,,THM3-09,,,,,,,,,,,,,,,1,1,1,1
265,,THM3-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
266,,THM3-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
267,,THM3-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
268,,THM3-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
269,,THM3-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
270,,THM3-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
271,,THM3-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
272,,THM3-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
273,,THM3-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
274,,THM3-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
275,,THM4-01,,,,,,,,,,,,,,,1,1,1,1
276,,THM4-02,,,,,,,,,,,,,,,1,1,1,1
277,,THM4-03,,,,,,,,,,,,,,,1,1,1,1
278,,THM4-04,,,,,,,,,,,,,,,1,1,1,1
279,,THM4-05,,,,,,,,,,,,,,,1,1,1,1
280,,THM4-06,,,,,,,,,,,,,,,1,1,1,1
281,,THM4-07,,,,,,,,,,,,,,,1,1,1,1
282,,THM4-08,,,,,,,,,,,,,,,1,1,1,1
283,,THM4-09,,,,,,,,,,,,,,,1,1,1,1
284,,THM4-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
285,,THM4-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
286,,THM4-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
